G(x,y) = y / lg(x)
Количество точек: x=2, y=82

y\x              2.000      2.000
2.000         6.643856   6.643856
2.100         6.976049   6.976049
2.200         7.308242   7.308242
2.300         7.640435   7.640435
2.400         7.972627   7.972627
2.500         8.304820   8.304820
2.600         8.637013   8.637013
2.700         8.969206   8.969206
2.800         9.301399   9.301399
2.900         9.633591   9.633591
3.000         9.965784   9.965784
3.100        10.297977  10.297977
3.200        10.630170  10.630170
3.300        10.962363  10.962363
3.400        11.294556  11.294556
3.500        11.626748  11.626748
3.600        11.958941  11.958941
3.700        12.291134  12.291134
3.800        12.623327  12.623327
3.900        12.955520  12.955520
4.000        13.287712  13.287712
4.100        13.619905  13.619905
4.200        13.952098  13.952098
4.300        14.284291  14.284291
4.400        14.616484  14.616484
4.500        14.948676  14.948676
4.600        15.280869  15.280869
4.700        15.613062  15.613062
4.800        15.945255  15.945255
4.900        16.277448  16.277448
5.000        16.609640  16.609640
5.100        16.941833  16.941833
5.200        17.274026  17.274026
5.300        17.606219  17.606219
5.400        17.938412  17.938412
5.500        18.270605  18.270605
5.600        18.602797  18.602797
5.700        18.934990  18.934990
5.800        19.267183  19.267183
5.900        19.599376  19.599376
6.000        19.931569  19.931569
6.100        20.263761  20.263761
6.200        20.595954  20.595954
6.300        20.928147  20.928147
6.400        21.260340  21.260340
6.500        21.592533  21.592533
6.600        21.924725  21.924725
6.700        22.256918  22.256918
6.800        22.589111  22.589111
6.900        22.921304  22.921304
7.000        23.253497  23.253497
7.100        23.585689  23.585689
7.200        23.917882  23.917882
7.300        24.250075  24.250075
7.400        24.582268  24.582268
7.500        24.914461  24.914461
7.600        25.246654  25.246654
7.700        25.578846  25.578846
7.800        25.911039  25.911039
7.900        26.243232  26.243232
8.000        26.575425  26.575425
8.100        26.907618  26.907618
8.200        27.239810  27.239810
8.300        27.572003  27.572003
8.400        27.904196  27.904196
8.500        28.236389  28.236389
8.600        28.568582  28.568582
8.700        28.900774  28.900774
8.800        29.232967  29.232967
8.900        29.565160  29.565160
9.000        29.897353  29.897353
9.100        30.229546  30.229546
9.200        30.561738  30.561738
9.300        30.893931  30.893931
9.400        31.226124  31.226124
9.500        31.558317  31.558317
9.600        31.890510  31.890510
9.700        32.222703  32.222703
9.800        32.554895  32.554895
9.900        32.887088  32.887088
10.000       33.219281  33.219281
10.100       33.551474  33.551474
